55;69;63;55
70;31;65;55
69;42;38;59
60;63;62;39
62;64;40;61
45;47;63;68
41;47;57;43
64;61;44;38
62;55;48;33
65;38;56;61
70;62;58;63
38;60;55;67
67;56;43;43
50;57;57;30
45;50;61;50
43;54;70;36
57;63;51;69
56;54;47;32
41;37;66;33
43;55;62;44
42;58;64;60
50;59;60;31
52;68;49;42
63;44;62;36
55;48;64;64
32;67;55;33
42;44;42;37
59;40;64;64
35;45;60;70
68;50;63;36
58;42;48;63
63;36;32;68
68;64;49;51
59;65;51;66
47;52;40;37
67;39;59;65
69;34;58;59
39;53;68;31
56;39;69;48
59;57;42;48
32;63;35;56
40;55;57;53
45;42;66;69
70;35;53;51
59;66;58;45
56;47;31;52
57;56;37;42
57;32;47;33
56;37;45;52
31;47;70;44
49;49;58;66
39;36;62;43
40;34;66;52
47;38;69;36
59;37;62;39
62;61;39;34
50;47;60;39
44;70;48;56
49;69;67;66
53;50;57;49
68;49;40;30
37;41;34;56
49;34;33;38
68;57;66;50
40;52;49;66
50;67;55;55
46;68;45;48
61;37;53;45
55;60;40;42
42;30;70;36
48;42;34;44
56;44;59;60
45;70;41;32
70;61;54;53
69;50;56;36
30;34;50;62
46;68;40;53
47;45;58;34
43;68;66;57
46;31;42;35
63;49;59;30
33;52;60;58
59;45;61;63
68;49;33;39
64;40;48;38
34;36;36;52
46;54;32;41
63;46;39;36
49;51;30;32
42;57;64;66
37;43;60;68
69;47;31;66
69;52;44;62
60;48;56;39
37;69;55;40
39;40;54;56
70;67;35;36
65;35;64;34
47;38;51;47
62;44;61;32
37;50;67;39
52;60;66;45
58;59;55;70
68;56;49;63
62;44;40;65
60;70;42;63
37;70;42;53
59;58;32;30
64;54;37;65
38;46;52;36
42;43;48;42
55;57;37;50
35;49;70;55
60;65;45;49
64;70;32;35
47;65;53;44
59;44;64;38
59;32;54;60
32;45;32;35
32;52;49;70
60;46;46;59
51;69;34;44
46;47;65;52
44;53;35;34
70;41;41;54
54;69;56;58
30;56;58;44
66;35;31;50
54;52;55;49
55;62;69;35
37;65;50;64
69;60;45;41
43;33;42;43
66;48;31;66
64;62;54;56
38;43;50;55
59;56;39;31
49;44;39;64
42;39;69;48
60;57;54;32
61;68;39;61
51;66;68;60
55;60;30;57
54;61;39;53
30;59;65;45
33;31;58;47
52;64;51;56
66;65;46;70
30;32;53;69
50;56;34;60
43;39;52;62
38;61;43;61
32;40;40;30
63;35;38;63
43;57;54;48
41;67;51;30
68;67;48;55
54;39;58;69
58;41;36;50
58;56;45;44
37;55;52;36
40;39;63;56
69;62;49;55
38;69;41;33
33;38;54;30
36;55;47;30
48;66;55;67
30;50;64;65
47;64;68;63
60;68;66;67
67;70;50;50
30;40;63;45
69;68;53;41
51;68;59;65
43;38;34;36
45;50;38;70
55;30;45;45
32;36;43;65
43;30;49;32
63;54;32;38
50;46;38;44
57;36;55;42
39;40;63;55
59;52;69;44
52;31;39;61
35;61;58;53
31;48;65;68
35;43;58;38
37;46;49;57
62;44;39;48
62;36;35;61
42;52;58;62
66;39;34;67
36;56;41;60
46;50;58;34
42;48;49;67
53;48;63;54
50;62;59;60
34;63;37;68
39;62;34;39
56;69;45;65
45;35;55;30
42;70;45;48
46;33;48;31
30;45;48;69
57;39;49;30
52;44;62;43
63;62;56;35
32;40;68;70
67;70;38;63
68;46;51;47
36;40;44;36
43;47;59;43
47;43;41;53
53;68;39;40
67;39;65;43
37;69;53;51
53;51;53;51
61;56;69;56
62;40;43;50
33;63;37;50
61;33;59;66
66;62;32;31
34;39;47;67
39;41;57;40
60;60;34;36
43;69;39;65
70;38;66;31
30;33;61;67
33;68;69;70
46;35;40;43
56;55;67;33
67;59;35;41
36;58;53;60
59;36;62;57
45;43;49;46
36;37;61;32
34;62;39;33
47;46;66;38
42;67;41;64
64;30;60;58
40;54;31;44
43;35;43;54
38;31;45;64
69;33;34;39
69;32;59;61
55;31;49;59
42;59;65;53
46;64;39;50
43;54;30;35
60;36;32;61
49;39;35;61
43;35;42;37
30;52;68;60
62;67;39;63
66;69;37;61
61;44;51;45
58;51;43;60
54;40;30;67
44;40;66;39
52;53;61;58
45;63;46;46
63;45;35;63
70;36;50;64
51;64;54;67
50;36;36;31
31;62;67;47
45;59;34;68
63;63;46;36
56;44;68;58
69;37;49;70
58;37;50;31
56;57;31;66
35;62;32;39
67;39;50;47
65;61;30;63
68;70;64;64
61;60;33;60
58;67;33;38
60;55;41;43
61;70;54;52
45;48;66;40
40;50;38;31
42;52;60;67
63;36;64;65
52;37;68;34
46;62;51;55
66;66;52;41
65;57;38;33
32;39;50;66
64;53;37;70
69;45;30;40
52;32;36;68
62;56;55;46
35;51;48;48
45;34;69;43
45;38;43;46
51;66;61;42
57;68;46;67
40;43;44;37
40;62;58;42
48;59;60;58
64;43;30;68
60;43;34;36
70;37;48;69
59;47;66;67
67;59;47;53
49;45;62;65
48;31;38;57
43;35;33;60
36;37;33;46
49;62;47;48
67;42;70;47
70;59;48;45
35;68;44;59
50;58;45;36
31;33;61;65
65;53;50;32
38;32;45;43
57;50;40;44
50;58;52;44
39;38;64;66
52;41;67;66
70;51;60;67
46;54;49;35
68;64;62;61
49;58;53;47
60;45;62;41
49;46;62;58
67;56;52;54
35;63;50;47
62;65;37;41
35;51;61;35
51;35;38;35
46;42;70;35
49;61;31;55
31;45;57;50
48;56;59;35
34;32;40;32
30;55;58;69
43;36;52;46
70;33;62;31
55;33;67;46
69;50;64;58
37;57;50;48
40;66;59;47
